日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/01/01,A1 香蕉,36.8,30.1,24.0,30.2,12025
098/01/02,A1 香蕉,37.1,31.3,25.4,31.3,13019
098/01/03,A1 香蕉,36.7,31.9,25.8,31.6,13470
098/01/04,A1 香蕉,36.3,30.2,25.6,30.5,14751
098/01/06,A1 香蕉,37.6,31.8,25.9,31.8,13605
098/01/07,A1 香蕉,36.6,32.2,25.2,31.7,13770
098/01/08,A1 香蕉,37.2,31.9,25.8,31.7,12616
098/01/09,A1 香蕉,42.8,32.3,26.0,33.1,12975
098/01/10,A1 香蕉,41.5,35.2,28.5,35.1,23655
098/01/11,A1 香蕉,40.2,34.1,27.0,33.9,15870
098/01/13,A1 香蕉,42.9,33.9,27.5,34.4,15429
098/01/14,A1 香蕉,43.2,37.2,30.7,37.1,12493
098/01/15,A1 香蕉,42.9,35.4,26.3,35.0,10608
098/01/16,A1 香蕉,44.2,36.9,27.0,36.4,8286
098/01/17,A1 香蕉,44.4,36.2,26.2,35.8,7995
098/01/18,A1 香蕉,42.3,35.6,25.8,35.0,10965
098/01/20,A1 香蕉,45.7,35.9,26.7,36.0,9894
098/01/21,A1 香蕉,42.0,36.3,26.6,35.5,13559
098/01/22,A1 香蕉,40.0,34.0,26.2,33.6,11510
098/01/23,A1 香蕉,40.7,32.2,22.1,31.9,11130
098/01/24,A1 香蕉,41.5,31.9,21.2,31.7,11005
098/01/25,A1 香蕉,39.2,32.6,26.0,32.6,15480
098/01/31,A1 香蕉,43.3,33.5,26.0,34.0,11325
098/02/01,A1 香蕉,44.6,35.0,28.0,35.5,16815
098/02/03,A1 香蕉,43.2,35.0,27.9,35.2,16260
098/02/04,A1 香蕉,42.7,36.1,28.9,36.0,13470
098/02/05,A1 香蕉,39.3,33.2,27.1,33.2,9945
098/02/06,A1 香蕉,38.8,32.0,25.6,32.1,10335
098/02/07,A1 香蕉,42.5,32.0,26.7,33.0,8086
098/02/08,A1 香蕉,48.1,35.8,27.7,36.6,10783
098/02/09,A1 香蕉,45.0,35.8,29.9,36.5,16573
098/02/12,A1 香蕉,48.3,41.5,36.5,41.8,17160
098/02/13,A1 香蕉,46.9,40.3,34.5,40.5,15345
098/02/14,A1 香蕉,45.1,38.2,32.7,38.5,12450
098/02/15,A1 香蕉,44.2,37.9,30.6,37.7,13665
098/02/17,A1 香蕉,43.2,36.9,32.6,37.3,13374
