日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/01/01,11 椰子,8.0,6.1,5.0,6.3,210
098/01/02,11 椰子,8.0,8.0,8.0,8.0,950
098/01/04,11 椰子,8.0,8.0,8.0,8.0,702
098/01/06,11 椰子,10.6,8.9,5.8,8.6,515
098/01/07,11 椰子,11.0,9.4,7.5,9.4,1868
098/01/08,11 椰子,8.4,7.7,6.0,7.5,726
098/01/09,11 椰子,8.0,6.2,5.0,6.3,472
098/01/10,11 椰子,9.8,9.0,8.2,9.0,965
098/01/11,11 椰子,9.0,8.9,6.7,8.5,318
098/01/13,11 椰子,7.0,6.0,5.0,6.0,865
098/01/14,11 椰子,8.5,8.0,6.8,7.9,1398
098/01/15,11 椰子,10.0,7.7,5.0,7.6,844
098/01/16,11 椰子,10.0,7.9,6.3,8.0,816
098/01/17,11 椰子,8.2,7.4,5.4,7.2,1414
098/01/18,11 椰子,8.6,6.1,5.0,6.4,646
098/01/20,11 椰子,8.5,6.7,5.0,6.8,1418
098/01/21,11 椰子,8.3,7.8,5.0,7.3,1410
098/01/22,11 椰子,8.0,7.4,5.4,7.1,779
098/01/23,11 椰子,6.7,5.0,5.0,5.3,180
098/01/24,11 椰子,8.0,8.0,7.1,7.8,1321
098/01/31,11 椰子,12.7,12.0,11.8,12.1,2476
098/02/01,11 椰子,14.9,11.6,7.2,11.4,785
098/02/03,11 椰子,10.9,9.0,7.6,9.1,2810
098/02/04,11 椰子,12.6,10.0,8.3,10.2,1394
098/02/05,11 椰子,9.5,8.9,7.9,8.8,2852
098/02/06,11 椰子,13.0,9.8,7.5,10.0,1356
098/02/07,11 椰子,9.6,7.2,6.6,7.6,1645
098/02/08,11 椰子,9.0,7.8,5.2,7.6,1818
098/02/09,11 椰子,10.0,6.6,6.0,7.2,510
098/02/12,11 椰子,8.7,7.7,5.9,7.6,3375
098/02/13,11 椰子,10.8,8.2,6.4,8.4,1801
098/02/14,11 椰子,10.2,9.0,7.6,8.9,3591
098/02/15,11 椰子,11.8,7.3,5.0,7.7,1345
098/02/17,11 椰子,10.8,9.0,7.4,9.0,2919
098/02/18,11 椰子,12.6,8.0,5.7,8.5,1259
098/02/19,11 椰子,15.3,8.7,6.2,9.5,1369
098/02/20,11 椰子,16.3,8.1,6.0,9.3,2022
098/02/21,11 椰子,9.0,7.1,6.0,7.3,1052
098/02/22,11 椰子,11.9,8.2,6.5,8.6,1753
098/02/24,11 椰子,9.4,7.8,6.5,7.9,4076
098/02/25,11 椰子,12.8,7.4,6.0,8.2,1700
098/02/26,11 椰子,12.0,8.2,5.7,8.5,3725
098/02/27,11 椰子,13.6,7.6,5.6,8.4,2617
098/02/28,11 椰子,9.6,6.7,5.0,6.9,2441
098/03/01,11 椰子,7.5,6.1,5.0,6.2,1670
098/03/03,11 椰子,9.9,8.5,5.0,8.1,3243
098/03/04,11 椰子,10.8,7.7,5.2,7.8,1838
098/03/05,11 椰子,13.3,7.5,5.6,8.3,1786
