日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/01/01,SC1 馬鈴薯 本產,18.1,13.7,5.8,13.0,9744
098/01/02,SC1 馬鈴薯 本產,18.9,15.9,8.9,15.1,11520
098/01/03,SC1 馬鈴薯 本產,21.0,15.8,8.2,15.3,12600
098/01/04,SC1 馬鈴薯 本產,21.6,16.7,9.8,16.3,13784
098/01/06,SC1 馬鈴薯 本產,22.1,16.7,9.1,16.3,18382
098/01/07,SC1 馬鈴薯 本產,21.0,15.8,7.1,15.1,15531
098/01/08,SC1 馬鈴薯 本產,21.8,15.7,7.0,15.2,16110
098/01/09,SC1 馬鈴薯 本產,21.0,17.1,6.5,15.7,15419
098/01/10,SC1 馬鈴薯 本產,20.2,16.9,8.2,15.8,17332
098/01/11,SC1 馬鈴薯 本產,20.0,15.3,4.4,14.1,19267
098/01/13,SC1 馬鈴薯 本產,19.3,14.2,4.2,13.2,20034
098/01/14,SC1 馬鈴薯 本產,20.0,15.0,4.1,13.8,13602
098/01/15,SC1 馬鈴薯 本產,20.0,15.6,5.2,14.4,13710
098/01/16,SC1 馬鈴薯 本產,20.0,17.8,8.2,16.4,10247
098/01/17,SC1 馬鈴薯 本產,20.0,16.3,4.5,14.7,17190
098/01/18,SC1 馬鈴薯 本產,20.0,15.7,4.3,14.3,14722
098/01/20,SC1 馬鈴薯 本產,20.0,17.8,6.3,15.9,16156
098/01/21,SC1 馬鈴薯 本產,18.6,16.7,7.7,15.3,23089
098/01/22,SC1 馬鈴薯 本產,18.7,16.5,10.6,15.8,16770
098/01/23,SC1 馬鈴薯 本產,19.0,16.3,11.6,15.9,12898
098/01/24,SC1 馬鈴薯 本產,18.9,15.9,9.2,15.2,13440
098/01/25,SC1 馬鈴薯 本產,18.0,16.8,14.0,16.5,4392
098/01/31,SC1 馬鈴薯 本產,18.3,16.8,10.4,15.8,11382
098/02/01,SC1 馬鈴薯 本產,18.6,16.7,9.5,15.7,11496
098/02/03,SC1 馬鈴薯 本產,18.5,16.3,7.9,15.1,14591
098/02/04,SC1 馬鈴薯 本產,18.4,15.2,5.4,13.9,13565
098/02/05,SC1 馬鈴薯 本產,18.0,13.9,6.2,13.2,11531
