日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
088/01/01,F1 雜柑 檸檬,32.0,23.0,10.0,22.7,4443
088/01/02,F1 雜柑 檸檬,28.0,18.0,6.0,25.6,3650
088/01/03,F1 雜柑 檸檬,35.0,25.0,10.0,30.3,2850
088/01/05,F1 雜柑 檸檬,40.0,30.0,15.0,30.4,4944
088/01/06,F1 雜柑 檸檬,45.0,35.0,18.0,34.7,3723
088/01/07,F1 雜柑 檸檬,40.0,30.0,15.0,31.1,7104
088/01/08,F1 雜柑 檸檬,36.0,26.0,13.0,26.3,4989
088/01/09,F1 雜柑 檸檬,36.0,26.0,13.0,23.6,8315
088/01/10,F1 雜柑 檸檬,32.0,22.0,10.0,22.4,5759
088/01/11,F1 雜柑 檸檬,33.0,22.0,10.0,22.2,4349
088/01/13,F1 雜柑 檸檬,30.0,20.0,10.0,20.6,5288
088/01/14,F1 雜柑 檸檬,28.0,18.0,8.0,18.8,3796
088/01/15,F1 雜柑 檸檬,30.0,20.0,8.0,19.6,4636
088/01/16,F1 雜柑 檸檬,30.0,20.0,8.0,18.8,3783
088/01/17,F1 雜柑 檸檬,32.0,22.0,8.0,20.5,3122
088/01/18,F1 雜柑 檸檬,30.0,20.0,8.0,26.7,1853
088/01/20,F1 雜柑 檸檬,35.0,25.0,10.0,25.1,7049
088/01/21,F1 雜柑 檸檬,30.0,20.0,8.0,19.9,7733
088/01/22,F1 雜柑 檸檬,30.0,20.0,8.0,16.5,8583
088/01/23,F1 雜柑 檸檬,23.0,15.0,8.0,16.3,6441
088/01/24,F1 雜柑 檸檬,22.0,12.0,6.0,13.2,5553
088/01/25,F1 雜柑 檸檬,18.0,12.0,6.0,14.0,6178
088/01/27,F1 雜柑 檸檬,20.0,14.0,6.0,15.3,5834
088/01/28,F1 雜柑 檸檬,18.0,13.0,6.0,13.8,4809
088/01/29,F1 雜柑 檸檬,20.0,15.0,7.0,16.1,4004
088/01/30,F1 雜柑 檸檬,23.0,16.0,10.0,18.0,4301
088/01/31,F1 雜柑 檸檬,28.0,20.0,10.0,21.3,5584
088/02/01,F1 雜柑 檸檬,28.0,21.0,10.0,17.1,5835
088/02/03,F1 雜柑 檸檬,28.0,20.0,10.0,19.7,4772
088/02/04,F1 雜柑 檸檬,25.0,18.0,10.0,18.7,4760
088/02/05,F1 雜柑 檸檬,27.0,20.0,10.0,21.9,4202
088/02/06,F1 雜柑 檸檬,27.0,20.0,10.0,21.6,4838
088/02/07,F1 雜柑 檸檬,27.0,20.0,10.0,20.5,6786
088/02/08,F1 雜柑 檸檬,25.0,18.0,8.0,17.4,7270
088/02/09,F1 雜柑 檸檬,23.0,18.0,8.0,14.3,7224
