日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
103/01/01,FB11 花椰菜 青梗 留梗柄,43.0,32.1,23.4,32.6,26619
103/01/02,FB11 花椰菜 青梗 留梗柄,38.4,27.5,17.4,27.7,37101
103/01/03,FB11 花椰菜 青梗 留梗柄,37.4,25.5,17.4,26.3,36043
103/01/04,FB11 花椰菜 青梗 留梗柄,31.8,20.5,13.2,21.3,46570
103/01/05,FB11 花椰菜 青梗 留梗柄,25.0,15.6,9.3,16.2,61232
103/01/07,FB11 花椰菜 青梗 留梗柄,24.6,17.0,11.1,17.3,61913
103/01/08,FB11 花椰菜 青梗 留梗柄,24.6,15.5,10.1,16.2,49958
103/01/09,FB11 花椰菜 青梗 留梗柄,21.9,12.3,7.8,13.3,55200
103/01/10,FB11 花椰菜 青梗 留梗柄,20.9,12.5,8.6,13.4,46693
103/01/11,FB11 花椰菜 青梗 留梗柄,21.9,13.8,10.0,14.7,40751
103/01/12,FB11 花椰菜 青梗 留梗柄,22.6,13.2,9.1,14.3,44934
103/01/14,FB11 花椰菜 青梗 留梗柄,21.1,12.3,7.8,13.2,58895
103/01/15,FB11 花椰菜 青梗 留梗柄,20.7,11.9,7.5,12.8,38729
103/01/16,FB11 花椰菜 青梗 留梗柄,24.3,14.7,11.1,15.9,27660
103/01/17,FB11 花椰菜 青梗 留梗柄,24.5,13.7,11.1,15.3,29125
103/01/18,FB11 花椰菜 青梗 留梗柄,24.5,13.7,8.9,14.9,30477
103/01/19,FB11 花椰菜 青梗 留梗柄,24.1,14.7,10.1,15.7,28803
103/01/21,FB11 花椰菜 青梗 留梗柄,24.1,16.6,11.7,17.1,28459
103/01/22,FB11 花椰菜 青梗 留梗柄,30.3,21.9,15.3,22.3,14376
103/01/23,FB11 花椰菜 青梗 留梗柄,37.5,27.6,20.6,28.2,13853
103/01/24,FB11 花椰菜 青梗 留梗柄,42.8,29.9,23.3,31.2,16772
103/01/25,FB11 花椰菜 青梗 留梗柄,46.4,31.5,22.7,32.7,17922
103/01/26,FB11 花椰菜 青梗 留梗柄,47.1,29.2,22.0,31.4,20256
103/01/27,FB11 花椰菜 青梗 留梗柄,44.5,33.5,23.9,33.8,18628
103/01/28,FB11 花椰菜 青梗 留梗柄,55.8,34.8,25.6,37.1,24204
103/01/29,FB11 花椰菜 青梗 留梗柄,49.4,33.9,25.4,35.3,30520
103/01/30,FB11 花椰菜 青梗 留梗柄,32.4,21.3,11.6,21.6,23340
103/02/05,FB11 花椰菜 青梗 留梗柄,18.7,14.1,9.3,14.1,44054
103/02/06,FB11 花椰菜 青梗 留梗柄,25.9,16.1,8.3,16.5,21272
103/02/07,FB11 花椰菜 青梗 留梗柄,29.1,14.4,9.0,16.3,23897
103/02/08,FB11 花椰菜 青梗 留梗柄,26.3,15.0,9.1,16.1,30230
103/02/09,FB11 花椰菜 青梗 留梗柄,26.1,12.6,5.1,13.8,32701
103/02/11,FB11 花椰菜 青梗 留梗柄,36.5,17.5,10.9,20.0,26383
103/02/12,FB11 花椰菜 青梗 留梗柄,38.4,20.4,13.5,22.6,18679
103/02/13,FB11 花椰菜 青梗 留梗柄,43.8,24.0,15.5,26.3,18796
103/02/14,FB11 花椰菜 青梗 留梗柄,52.0,31.6,22.3,33.8,29589
103/02/18,FB11 花椰菜 青梗 留梗柄,37.8,23.2,14.8,24.4,48053
103/02/19,FB11 花椰菜 青梗 留梗柄,35.8,21.5,14.5,23.0,31214
103/02/20,FB11 花椰菜 青梗 留梗柄,33.4,23.9,15.2,24.1,23586
103/02/21,FB11 花椰菜 青梗 留梗柄,35.6,29.4,21.5,29.0,16811
103/02/22,FB11 花椰菜 青梗 留梗柄,41.2,31.7,23.2,31.9,16833
103/02/23,FB11 花椰菜 青梗 留梗柄,38.5,30.3,23.2,30.5,25517
103/02/25,FB11 花椰菜 青梗 留梗柄,33.4,25.6,19.5,26.0,41362
103/02/26,FB11 花椰菜 青梗 留梗柄,31.4,22.1,18.1,23.2,34241
103/02/27,FB11 花椰菜 青梗 留梗柄,31.1,19.3,15.3,20.9,32769
103/02/28,FB11 花椰菜 青梗 留梗柄,31.7,21.3,15.6,22.2,30303
103/03/01,FB11 花椰菜 青梗 留梗柄,33.9,20.6,16.2,22.4,31668
103/03/02,FB11 花椰菜 青梗 留梗柄,30.1,18.0,12.0,19.3,40829
103/03/04,FB11 花椰菜 青梗 留梗柄,29.4,16.2,10.1,17.6,46057
103/03/05,FB11 花椰菜 青梗 留梗柄,29.5,15.8,9.4,17.3,27044
103/03/06,FB11 花椰菜 青梗 留梗柄,35.1,17.8,11.0,19.9,23107
103/03/07,FB11 花椰菜 青梗 留梗柄,39.0,21.1,16.4,23.7,19889
103/03/08,FB11 花椰菜 青梗 留梗柄,40.6,21.0,15.2,23.8,22480
103/03/09,FB11 花椰菜 青梗 留梗柄,38.0,21.0,14.9,23.2,26168
103/03/11,FB11 花椰菜 青梗 留梗柄,43.7,24.5,17.2,26.9,24628
103/03/12,FB11 花椰菜 青梗 留梗柄,53.1,33.4,20.8,34.9,13442
103/03/13,FB11 花椰菜 青梗 留梗柄,53.3,32.2,21.7,34.3,16411
103/03/14,FB11 花椰菜 青梗 留梗柄,49.3,32.8,23.2,34.2,15603
103/03/15,FB11 花椰菜 青梗 留梗柄,53.0,32.3,23.6,34.7,18359
103/03/16,FB11 花椰菜 青梗 留梗柄,60.7,38.4,30.4,41.3,13935
103/03/18,FB11 花椰菜 青梗 留梗柄,47.8,36.2,26.0,36.5,23311
103/03/19,FB11 花椰菜 青梗 留梗柄,44.7,36.5,27.1,36.2,17746
103/03/20,FB11 花椰菜 青梗 留梗柄,37.4,30.3,20.1,29.7,23657
103/03/21,FB11 花椰菜 青梗 留梗柄,34.1,27.1,20.3,27.1,24723
103/03/22,FB11 花椰菜 青梗 留梗柄,37.2,28.1,21.1,28.5,22799
103/03/23,FB11 花椰菜 青梗 留梗柄,39.9,26.9,19.5,28.0,26255
103/03/25,FB11 花椰菜 青梗 留梗柄,33.9,18.5,13.2,20.5,50117
103/03/26,FB11 花椰菜 青梗 留梗柄,33.7,18.0,12.1,20.0,35905
103/03/27,FB11 花椰菜 青梗 留梗柄,33.8,18.0,10.8,19.7,29248
103/03/28,FB11 花椰菜 青梗 留梗柄,32.4,19.3,11.3,20.3,29277
103/03/29,FB11 花椰菜 青梗 留梗柄,38.7,19.9,11.5,22.0,25093
103/03/30,FB11 花椰菜 青梗 留梗柄,36.4,18.6,7.9,20.0,25048
103/04/01,FB11 花椰菜 青梗 留梗柄,42.9,23.6,8.7,24.5,24095
103/04/02,FB11 花椰菜 青梗 留梗柄,47.6,25.9,13.2,27.7,17333
103/04/03,FB11 花椰菜 青梗 留梗柄,56.2,30.4,16.1,32.7,14260
103/04/04,FB11 花椰菜 青梗 留梗柄,56.8,32.5,16.2,34.1,23614
103/04/08,FB11 花椰菜 青梗 留梗柄,48.7,27.3,16.3,29.4,25844
103/04/09,FB11 花椰菜 青梗 留梗柄,48.3,30.7,20.0,32.1,14366
103/04/10,FB11 花椰菜 青梗 留梗柄,48.9,33.7,20.4,34.1,13356
103/04/11,FB11 花椰菜 青梗 留梗柄,51.8,34.3,20.2,35.0,11479
103/04/12,FB11 花椰菜 青梗 留梗柄,55.8,36.2,20.8,37.0,12196
103/04/13,FB11 花椰菜 青梗 留梗柄,49.7,30.6,18.2,32.0,17207
103/04/15,FB11 花椰菜 青梗 留梗柄,45.2,28.3,18.6,29.7,19718
103/04/16,FB11 花椰菜 青梗 留梗柄,37.0,26.8,17.9,27.1,15263
103/04/17,FB11 花椰菜 青梗 留梗柄,36.1,23.6,15.4,24.5,16640
103/04/18,FB11 花椰菜 青梗 留梗柄,32.7,19.8,12.5,20.9,18071
103/04/19,FB11 花椰菜 青梗 留梗柄,34.0,18.7,10.2,20.0,16477
103/04/20,FB11 花椰菜 青梗 留梗柄,32.4,17.9,8.2,18.8,17904
103/04/22,FB11 花椰菜 青梗 留梗柄,38.4,20.0,9.4,21.6,17322
103/04/23,FB11 花椰菜 青梗 留梗柄,39.5,21.8,11.8,23.3,11583
103/04/24,FB11 花椰菜 青梗 留梗柄,39.5,24.2,12.0,24.8,8543
103/04/25,FB11 花椰菜 青梗 留梗柄,43.5,27.5,11.8,27.6,7829
