日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
103/01/01,71 小番茄 ㄧ般,39.6,26.8,24.7,29.0,1002
103/01/02,71 小番茄 ㄧ般,40.6,28.4,25.0,30.2,1390
103/01/03,71 小番茄 ㄧ般,39.9,27.6,24.0,29.4,1456
103/01/04,71 小番茄 ㄧ般,36.6,31.2,25.0,31.0,1206
103/01/05,71 小番茄 ㄧ般,41.4,31.3,22.3,31.5,2041
103/01/07,71 小番茄 ㄧ般,30.0,29.7,21.5,28.1,2364
103/01/08,71 小番茄 ㄧ般,32.0,29.8,24.6,29.2,2416
103/01/09,71 小番茄 ㄧ般,30.0,30.0,20.9,28.2,2538
103/01/10,71 小番茄 ㄧ般,33.8,28.4,13.4,26.5,1958
103/01/11,71 小番茄 ㄧ般,32.8,28.4,13.6,26.3,2132
103/01/12,71 小番茄 ㄧ般,31.0,24.1,16.0,23.9,2242
103/01/14,71 小番茄 ㄧ般,29.5,24.9,17.1,24.3,2550
103/01/15,71 小番茄 ㄧ般,30.6,26.9,15.1,25.3,1960
103/01/16,71 小番茄 ㄧ般,29.3,25.0,15.8,24.0,1466
103/01/17,71 小番茄 ㄧ般,31.8,23.7,8.4,22.2,2332
103/01/18,71 小番茄 ㄧ般,35.0,28.4,9.9,26.0,2024
103/01/19,71 小番茄 ㄧ般,27.2,23.0,10.3,21.3,1469
103/01/21,71 小番茄 ㄧ般,25.0,21.0,9.4,19.5,1556
103/01/22,71 小番茄 ㄧ般,25.0,24.3,12.3,22.0,1420
103/01/23,71 小番茄 ㄧ般,26.1,24.6,14.3,22.9,1400
103/01/24,71 小番茄 ㄧ般,25.0,20.0,12.1,19.4,1654
103/01/25,71 小番茄 ㄧ般,29.4,22.4,14.8,22.3,1580
103/01/26,71 小番茄 ㄧ般,25.0,21.1,13.0,20.3,1364
103/01/27,71 小番茄 ㄧ般,30.4,21.2,18.8,22.6,664
103/01/28,71 小番茄 ㄧ般,27.3,23.8,18.7,23.5,1930
103/01/29,71 小番茄 ㄧ般,36.2,24.8,19.7,26.1,1872
103/01/30,71 小番茄 ㄧ般,37.2,25.0,24.5,27.4,1094
103/02/05,71 小番茄 ㄧ般,31.9,25.3,23.6,26.3,1884
103/02/06,71 小番茄 ㄧ般,27.3,22.0,15.9,21.8,2426
103/02/07,71 小番茄 ㄧ般,24.6,20.6,18.8,21.1,1069
103/02/08,71 小番茄 ㄧ般,25.9,21.5,17.0,21.5,3320
103/02/09,71 小番茄 ㄧ般,29.0,21.6,16.9,22.1,2098
103/02/11,71 小番茄 ㄧ般,27.9,21.4,18.9,22.2,1364
103/02/12,71 小番茄 ㄧ般,28.9,24.8,17.9,24.3,1239
103/02/13,71 小番茄 ㄧ般,26.5,24.4,19.2,23.8,2500
103/02/14,71 小番茄 ㄧ般,25.7,22.1,19.4,22.3,1986
103/02/18,71 小番茄 ㄧ般,30.2,23.6,19.9,24.2,3901
103/02/19,71 小番茄 ㄧ般,30.0,29.7,19.8,27.8,4282
103/02/20,71 小番茄 ㄧ般,28.0,23.4,19.9,23.6,4505
103/02/21,71 小番茄 ㄧ般,27.8,23.0,20.0,23.3,2837
103/02/22,71 小番茄 ㄧ般,29.1,24.4,19.9,24.4,3362
103/02/23,71 小番茄 ㄧ般,25.9,23.7,19.7,23.3,3862
103/02/25,71 小番茄 ㄧ般,29.7,24.0,19.0,24.1,4316
103/02/26,71 小番茄 ㄧ般,37.7,28.4,23.1,29.2,1247
103/02/27,71 小番茄 ㄧ般,38.0,26.5,25.0,28.5,2665
103/02/28,71 小番茄 ㄧ般,34.7,27.3,23.2,27.9,4606
103/03/01,71 小番茄 ㄧ般,32.7,27.0,21.0,26.9,2976
103/03/02,71 小番茄 ㄧ般,34.7,28.3,17.8,27.4,3160
103/03/04,71 小番茄 ㄧ般,33.4,27.4,23.9,27.9,3565
103/03/05,71 小番茄 ㄧ般,35.0,27.2,23.7,28.0,3940
103/03/06,71 小番茄 ㄧ般,31.8,26.1,15.3,25.1,3867
103/03/07,71 小番茄 ㄧ般,31.7,26.9,14.7,25.4,3166
103/03/08,71 小番茄 ㄧ般,32.6,24.5,17.1,24.6,1849
103/03/09,71 小番茄 ㄧ般,31.7,25.1,15.3,24.4,3058
103/03/11,71 小番茄 ㄧ般,32.2,25.2,21.6,25.9,3103
103/03/12,71 小番茄 ㄧ般,33.2,29.6,24.0,29.2,3668
103/03/13,71 小番茄 ㄧ般,36.6,26.2,22.3,27.5,4186
103/03/14,71 小番茄 ㄧ般,33.4,24.7,17.5,25.0,4018
103/03/15,71 小番茄 ㄧ般,36.1,26.4,22.1,27.5,4916
103/03/16,71 小番茄 ㄧ般,38.2,27.4,23.6,28.8,4240
103/03/18,71 小番茄 ㄧ般,35.8,26.0,19.2,26.6,3884
103/03/19,71 小番茄 ㄧ般,30.7,24.6,15.4,24.0,3952
103/03/20,71 小番茄 ㄧ般,28.3,25.2,15.5,23.9,4081
103/03/21,71 小番茄 ㄧ般,32.8,25.6,19.2,25.8,4380
103/03/22,71 小番茄 ㄧ般,29.6,24.7,17.7,24.3,3952
103/03/23,71 小番茄 ㄧ般,31.3,24.9,15.7,24.3,3861
103/03/25,71 小番茄 ㄧ般,31.3,25.6,15.3,24.7,6545
103/03/26,71 小番茄 ㄧ般,32.0,25.4,21.9,26.0,4149
103/03/27,71 小番茄 ㄧ般,31.2,25.1,16.2,24.5,4360
103/03/28,71 小番茄 ㄧ般,31.0,25.0,15.8,24.3,3946
103/03/29,71 小番茄 ㄧ般,31.0,25.0,17.1,24.6,4555
103/03/30,71 小番茄 ㄧ般,33.0,26.4,19.3,26.3,4965
103/04/01,71 小番茄 ㄧ般,30.3,24.4,12.2,23.1,4113
103/04/02,71 小番茄 ㄧ般,29.1,24.4,13.6,23.2,3242
103/04/03,71 小番茄 ㄧ般,29.4,22.2,5.6,20.3,3000
103/04/04,71 小番茄 ㄧ般,34.3,25.1,19.6,25.9,4768
103/04/08,71 小番茄 ㄧ般,30.3,26.4,23.1,26.5,8258
103/04/09,71 小番茄 ㄧ般,31.7,23.3,10.9,22.5,5043
103/04/10,71 小番茄 ㄧ般,27.9,20.9,6.0,19.3,5918
103/04/11,71 小番茄 ㄧ般,30.8,22.5,7.2,21.1,4914
103/04/12,71 小番茄 ㄧ般,27.5,22.3,8.1,20.5,4964
103/04/13,71 小番茄 ㄧ般,33.1,23.5,8.0,22.3,2396
103/04/15,71 小番茄 ㄧ般,22.9,20.0,16.5,19.9,3376
103/04/16,71 小番茄 ㄧ般,26.2,23.5,12.7,21.9,2872
103/04/17,71 小番茄 ㄧ般,25.2,19.7,11.1,19.1,3534
103/04/18,71 小番茄 ㄧ般,22.9,20.0,9.5,18.5,3147
103/04/19,71 小番茄 ㄧ般,25.2,20.9,8.2,19.2,3366
103/04/20,71 小番茄 ㄧ般,22.3,20.0,9.2,18.3,2868
103/04/22,71 小番茄 ㄧ般,25.0,20.0,7.7,18.5,2765
103/04/23,71 小番茄 ㄧ般,31.1,20.0,15.5,21.3,2200
103/04/24,71 小番茄 ㄧ般,29.4,20.0,18.8,21.6,2338
103/04/25,71 小番茄 ㄧ般,25.5,20.0,14.5,20.0,2246
103/04/26,71 小番茄 ㄧ般,22.8,20.0,14.5,19.5,2146
103/04/27,71 小番茄 ㄧ般,30.9,20.1,11.7,20.6,1472
103/04/29,71 小番茄 ㄧ般,25.9,20.0,16.8,20.5,1736
103/04/30,71 小番茄 ㄧ般,32.6,20.3,19.1,22.5,1962
103/05/01,71 小番茄 ㄧ般,33.2,20.7,18.9,22.8,1792
103/05/02,71 小番茄 ㄧ般,21.3,20.0,18.3,19.9,1264
103/05/03,71 小番茄 ㄧ般,34.3,21.5,19.7,23.7,1182
103/05/04,71 小番茄 ㄧ般,29.6,20.3,19.6,22.0,2152
103/05/06,71 小番茄 ㄧ般,21.1,20.0,14.0,19.0,992
103/05/07,71 小番茄 ㄧ般,20.0,20.0,17.7,19.5,942
103/05/08,71 小番茄 ㄧ般,35.0,20.3,20.0,23.2,1550
103/05/09,71 小番茄 ㄧ般,35.0,22.5,20.0,24.5,900
103/05/10,71 小番茄 ㄧ般,35.0,23.4,18.7,24.8,748
103/05/11,71 小番茄 ㄧ般,35.0,21.0,20.0,23.6,820
103/05/13,71 小番茄 ㄧ般,34.7,21.1,12.0,22.0,518
103/05/14,71 小番茄 ㄧ般,27.1,25.0,23.9,25.2,1120
103/05/15,71 小番茄 ㄧ般,29.9,25.0,24.4,25.9,1257
103/05/16,71 小番茄 ㄧ般,30.0,27.3,19.5,26.3,874
103/05/17,71 小番茄 ㄧ般,35.0,29.8,25.0,29.9,1074
